GEO_ID,NAME,county_fips,population_total,median_age_years,female_pct
0500000US08009,"Baca County, Colorado",08009,3428,43.0,
0500000US08011,"Bent County, Colorado",08011,5549,40.6,
0500000US08013,"Boulder County, Colorado",08013,328961,37.7,
0500000US08014,"Broomfield County, Colorado",08014,76304,38.6,
0500000US08015,"Chaffee County, Colorado",08015,20178,48.7,
0500000US08017,"Cheyenne County, Colorado",08017,1741,42.9,
0500000US08019,"Clear Creek County, Colorado",08019,9262,49.1,
0500000US08021,"Conejos County, Colorado",08021,7530,40.6,
0500000US08023,"Costilla County, Colorado",08023,3607,50.5,
0500000US08025,"Crowley County, Colorado",08025,5647,40.8,
0500000US08027,"Custer County, Colorado",08027,5247,58.2,
0500000US08029,"Delta County, Colorado",08029,31598,48.1,
0500000US08031,"Denver County, Colorado",08031,718877,35.3,
0500000US08033,"Dolores County, Colorado",08033,2432,56.7,
0500000US08035,"Douglas County, Colorado",08035,377150,39.6,
0500000US08037,"Eagle County, Colorado",08037,55135,39.7,
0500000US08039,"Elbert County, Colorado",08039,27874,45.0,
0500000US08041,"El Paso County, Colorado",08041,742999,35.1,
0500000US08043,"Fremont County, Colorado",08043,49634,44.7,
0500000US08045,"Garfield County, Colorado",08045,62479,37.6,
0500000US08047,"Gilpin County, Colorado",08047,5901,47.2,
0500000US08049,"Grand County, Colorado",08049,15895,45.4,
0500000US08051,"Gunnison County, Colorado",08051,17241,37.5,
0500000US08053,"Hinsdale County, Colorado",08053,1005,48.5,
0500000US08055,"Huerfano County, Colorado",08055,6972,55.3,
0500000US08057,"Jackson County, Colorado",08057,1372,51.6,
0500000US08059,"Jefferson County, Colorado",08059,579377,40.5,
0500000US08061,"Kiowa County, Colorado",08061,1376,45.4,
0500000US08063,"Kit Carson County, Colorado",08063,7023,39.5,
0500000US08065,"Lake County, Colorado",08065,7380,37.3,
0500000US08067,"La Plata County, Colorado",08067,56331,43.2,
0500000US08069,"Larimer County, Colorado",08069,367368,36.8,
0500000US08071,"Las Animas County, Colorado",08071,14413,46.6,
0500000US08073,"Lincoln County, Colorado",08073,5550,40.9,
0500000US08075,"Logan County, Colorado",08075,20892,39.2,
0500000US08077,"Mesa County, Colorado",08077,158601,41.3,
0500000US08079,"Mineral County, Colorado",08079,729,56.4,
0500000US08081,"Moffat County, Colorado",08081,13207,40.1,
0500000US08083,"Montezuma County, Colorado",08083,26412,44.5,
0500000US08085,"Montrose County, Colorado",08085,43807,46.1,
0500000US08087,"Morgan County, Colorado",08087,29520,37.5,
0500000US08089,"Otero County, Colorado",08089,18321,41.8,
0500000US08091,"Ouray County, Colorado",08091,5087,55.4,
0500000US08093,"Park County, Colorado",08093,17907,51.2,
0500000US08095,"Phillips County, Colorado",08095,4496,40.9,
0500000US08097,"Pitkin County, Colorado",08097,16985,47.2,
0500000US08099,"Prowers County, Colorado",08099,11910,37.7,
0500000US08101,"Pueblo County, Colorado",08101,169356,40.4,
0500000US08103,"Rio Blanco County, Colorado",08103,6544,37.8,
0500000US08105,"Rio Grande County, Colorado",08105,11321,41.7,
0500000US08107,"Routt County, Colorado",08107,25084,43.4,
0500000US08109,"Saguache County, Colorado",08109,6580,49.6,
0500000US08111,"San Juan County, Colorado",08111,724,37.5,
0500000US08113,"San Miguel County, Colorado",08113,7968,43.3,
0500000US08115,"Sedgwick County, Colorado",08115,2304,42.6,
0500000US08117,"Summit County, Colorado",08117,31017,39.5,
0500000US08119,"Teller County, Colorado",08119,24825,52.2,
0500000US08121,"Washington County, Colorado",08121,4831,41.3,
0500000US08123,"Weld County, Colorado",08123,350396,35.3,
0500000US08125,"Yuma County, Colorado",08125,9979,40.5,
0500000US09110,"Capitol Planning Region, Connecticut",09110,977290,40.0,
0500000US09120,"Greater Bridgeport Planning Region, Connecticut",09120,329259,39.8,
0500000US09130,"Lower Connecticut River Valley Planning Region, Connecticut",09130,175822,45.9,
0500000US09140,"Naugatuck Valley Planning Region, Connecticut",09140,454969,41.8,
0500000US09150,"Northeastern Connecticut Planning Region, Connecticut",09150,96312,44.1,
0500000US09160,"Northwest Hills Planning Region, Connecticut",09160,113216,47.1,
0500000US09170,"South Central Connecticut Planning Region, Connecticut",09170,570598,40.2,
0500000US09180,"Southeastern Connecticut Planning Region, Connecticut",09180,279971,41.1,
0500000US09190,"Western Connecticut Planning Region, Connecticut",09190,627071,41.5,
0500000US10001,"Kent County, Delaware",10001,187604,38.8,
0500000US10003,"New Castle County, Delaware",10003,577961,39.3,
0500000US10005,"Sussex County, Delaware",10005,255626,51.9,
0500000US11001,"District of Columbia, District of Columbia",11001,681294,34.9,
0500000US12001,"Alachua County, Florida",12001,285492,32.3,
0500000US12003,"Baker County, Florida",12003,28430,38.1,
0500000US12005,"Bay County, Florida",12005,186393,41.0,
0500000US12007,"Bradford County, Florida",12007,27885,40.2,
0500000US12009,"Brevard County, Florida",12009,632780,46.7,
0500000US12011,"Broward County, Florida",12011,1977129,41.3,
0500000US12013,"Calhoun County, Florida",12013,13492,42.2,
0500000US12015,"Charlotte County, Florida",12015,201064,59.9,
0500000US12017,"Citrus County, Florida",12017,162472,56.9,
0500000US12019,"Clay County, Florida",12019,227584,40.4,
0500000US12021,"Collier County, Florida",12021,398291,53.3,
0500000US12023,"Columbia County, Florida",12023,71789,40.7,
0500000US12027,"DeSoto County, Florida",12027,35386,43.5,
0500000US12029,"Dixie County, Florida",12029,17058,46.4,
0500000US12031,"Duval County, Florida",12031,1023153,36.9,
0500000US12033,"Escambia County, Florida",12033,325923,38.1,
0500000US12035,"Flagler County, Florida",12035,126528,53.1,
0500000US12037,"Franklin County, Florida",12037,12553,50.1,
0500000US12039,"Gadsden County, Florida",12039,43710,42.4,
0500000US12041,"Gilchrist County, Florida",12041,19040,43.2,
0500000US12043,"Glades County, Florida",12043,12563,46.0,
0500000US12045,"Gulf County, Florida",12045,15131,46.9,
0500000US12047,"Hamilton County, Florida",12047,13616,41.2,
0500000US12049,"Hardee County, Florida",12049,25675,35.8,
0500000US12051,"Hendry County, Florida",12051,42382,35.8,
0500000US12053,"Hernando County, Florida",12053,207018,47.7,
0500000US12055,"Highlands County, Florida",12055,105702,54.4,
0500000US12057,"Hillsborough County, Florida",12057,1522748,37.9,
0500000US12059,"Holmes County, Florida",12059,19513,43.7,
0500000US12061,"Indian River County, Florida",12061,166936,55.3,
0500000US12063,"Jackson County, Florida",12063,48250,43.0,
0500000US12065,"Jefferson County, Florida",12065,15091,47.6,
0500000US12067,"Lafayette County, Florida",12067,8161,42.3,
0500000US12069,"Lake County, Florida",12069,412924,46.5,
0500000US12071,"Lee County, Florida",12071,817666,49.0,
0500000US12073,"Leon County, Florida",12073,297542,32.0,
0500000US12075,"Levy County, Florida",12075,45391,46.7,
0500000US12077,"Liberty County, Florida",12077,7687,39.7,
0500000US12079,"Madison County, Florida",12079,18089,44.8,
0500000US12081,"Manatee County, Florida",12081,429792,49.6,
0500000US12083,"Marion County, Florida",12083,400078,47.9,
0500000US12085,"Martin County, Florida",12085,162176,53.3,
0500000US12086,"Miami-Dade County, Florida",12086,2738356,40.7,
0500000US12087,"Monroe County, Florida",12087,81860,49.2,
0500000US12089,"Nassau County, Florida",12089,97859,46.5,
0500000US12091,"Okaloosa County, Florida",12091,216599,37.4,
0500000US12093,"Okeechobee County, Florida",12093,40816,40.8,
0500000US12095,"Orange County, Florida",12095,1471937,36.6,
0500000US12097,"Osceola County, Florida",12097,427415,37.1,
0500000US12099,"Palm Beach County, Florida",12099,1533806,45.3,
0500000US12101,"Pasco County, Florida",12101,611444,43.4,
0500000US12103,"Pinellas County, Florida",12103,963481,49.0,
0500000US12105,"Polk County, Florida",12105,790694,39.5,
0500000US12107,"Putnam County, Florida",12107,75164,45.0,
0500000US12109,"St. Johns County, Florida",12109,306934,44.2,
0500000US12111,"St. Lucie County, Florida",12111,360500,45.1,
