county_fips,state_fips,tract_count,population_2020_sum,households_without_vehicle_count_sum,snap_households_count_sum,driving_low_access_population_beyond_1mi_10mi_count_sum,driving_no_vehicle_households_beyond_1mi_count_sum,driving_snap_households_beyond_1mi_count_sum,straight_low_access_population_beyond_1mi_10mi_count_sum,straight_no_vehicle_households_beyond_1mi_count_sum,straight_snap_households_beyond_1mi_count_sum,urban_tract_count,low_income_tract_tract_count,driving_low_income_low_access_tract_count,driving_low_vehicle_access_tract_count,straight_low_income_low_access_tract_count,straight_low_vehicle_access_tract_count
48027,48,87,370647,7484.0,18429.0,55121,1132.0,2617.0,21349,582.0,1412.0,69,44,7.0,6.0,2.0,3.0
48029,48,375,2009324,48040.0,103965.0,343506,4265.0,12792.0,102293,1342.0,4405.0,348,178,21.0,47.0,2.0,14.0
48031,48,4,11374,115.0,243.0,1215,86.0,179.0,35,73.0,153.0,0,0,0.0,0.0,0.0,0.0
48033,48,1,631,3.0,0.0,631,3.0,0.0,619,3.0,0.0,0,1,1.0,0.0,1.0,0.0
48035,48,7,18235,175.0,782.0,467,57.0,389.0,12,37.0,324.0,0,4,0.0,0.0,0.0,0.0
48037,48,26,92893,2418.0,5109.0,15270,586.0,1452.0,5326,328.0,830.0,15,12,5.0,2.0,3.0,0.0
48039,48,77,372031,4208.0,10824.0,82580,1684.0,4677.0,22319,844.0,2515.0,55,10,2.0,7.0,2.0,4.0
48041,48,63,233849,5463.0,7858.0,49594,876.0,1104.0,19368,481.0,636.0,53,36,5.0,11.0,2.0,3.0
48043,48,3,9546,284.0,338.0,2760,67.0,83.0,2072,42.0,55.0,2,2,2.0,0.0,2.0,0.0
48045,48,1,1435,8.0,36.0,315,4.0,19.0,188,4.0,18.0,0,1,0.0,0.0,0.0,0.0
48047,48,2,7076,737.0,1062.0,1371,156.0,278.0,879,96.0,194.0,1,1,1.0,1.0,1.0,1.0
48049,48,13,38095,979.0,1776.0,8877,370.0,764.0,2509,158.0,403.0,7,8,4.0,1.0,1.0,1.0
48051,48,7,17642,314.0,941.0,840,222.0,545.0,142,196.0,441.0,0,2,0.0,0.0,0.0,0.0
